,prices,year,title,address
0,"₹ 75,000","1990 - 35,000 km",YAMAHA RX100 papers current 2024 local number,"AOK Nagar, Erode"
1,"₹ 38,000",1994 - 500 km,yahama rx100,"Char Brahmanagar, Nabadwip"
2,"₹ 75,000","1991 - 30,000 km",YAMAHA RX100 paper Current insurance Japan cylinder Japan corporator,"AOK Nagar, Erode"
3,"₹ 50,000","1999 - 10,000 km",YAHAMA RX100 FOR URGENT SELL,"Katraj, Pune"
4,"₹ 60,000",1989 - 200 km,Rx100 tip top condition silver  black colour,"Alipura, Bodeli"
5,"₹ 94,000",2000 - 0 km,RX100 Yamaha km 0000,"Arun Nagar, Walajapet"
6,"₹ 75,000","1986 - 10,000 km",Yamaha rx100,"Naikavaddo, Calangute"
7,"₹ 58,200","1990 - 42,368 km",Yamaha RX100,"Tirurangadi, Kerala"
8,"₹ 21,000","1997 - 50,000 km",rx100 new condtion,"Patel Nagar, Orai Jalaun District"
9,"₹ 88,000",1990 - 0 km,Rx100 neat condition,"Kotangal, Venkitangu"
10,"₹ 45,000","1992 - 40,000 km",Yamaha rx100,"Aranthavapuram, Ammapettai Thanjavur District"
11,"₹ 38,000","1996 - 20,000 km",YAMAHA RX100,"Shamunpet, Warangal"
12,"₹ 33,000","1992 - 63,000 km",Yamaha rx100.. brand new engine work original.,"Soma Talav, Vadodara"
13,"₹ 40,000","1995 - 654,830 km",Yamaha Rx100,"Anbu Nagar, Thanjavur"
14,"₹ 6,000",,Yamaha rx100 made in  Japan,"Ankali Village, Sangli (-Miraj)"
15,"₹ 68,500","1994 - 80,000 km",Rx100 No Fc,"Moothakurichi, Madukkur"
16,"₹ 26,000","2010 - 40,000 km",Yamaha RX100,"Rasulgarh, Bhubaneshwar"
17,"₹ 75,000","1996 - 75,000 km",i want to Yamaha rx100,"Thuckalam, Nagercoil"
18,"₹ 45,000",1990 - 0 km,I need RX100,"Kanjikodu Village, Kanjikode Industrial Area"
19,"₹ 35,000",1998 - 50 km,Good running condition original RX100,"Aziz Nagar, Hyderabad"
